Name,Season,Month,Max. sustained winds(knots),Max. sustained winds(kmh),Max. sustained winds(mph),Minimum pressure(mbar)
Hurricane Fox,1950,September,120,220,140,946
Hurricane King,1950,October,115,215,130,955
Hurricane Charlie,1951,August,115,215,130,958
Hurricane Easy,1951,September,130,240,150,937
Hurricane Fox,1952,October,125,230,145,934
Hurricane Hazel,1954,October,115,215,130,937
Hurricane Connie,1955,August,120,220,140,944
Hurricane Ione,1955,September,120,220,140,938
Hurricane Carrie,1957,September,120,220,140,945
Hurricane Cleo,1958,August,120,220,140,947
Hurricane Daisy,1958,August,115,215,130,948
Hurricane Helene,1958,September,115,215,130,934
Hurricane Gracie,1959,September,120,220,140,950
Hurricane Donna,1960,September,125,230,145,930
Hurricane Betsy,1961,September,120,220,140,945
Hurricane Esther,1961,September,125,230,145,927
Hurricane Flora,1963,"September, October",126,230,145,940
Hurricane Cleo,1964,"August, September",135,250,155,950
Hurricane Dora,1964,"August, September",115,215,130,942
Hurricane Gladys,1964,September,126,230,145,945
Hurricane Hilda,1964,"September, October",130,240,150,941
Hurricane Betsy,1965,"August, September",135,250,155,941
Hurricane Inez,1966,"September, October",130,240,150,929
Hurricane Carmen,1974,"August, September",130,240,150,928
Hurricane Gladys,1975,"September, October",120,220,140,939
Hurricane Ella,1978,"August, September",120,220,140,956
Hurricane Greta,1978,September,115,215,130,947
Hurricane Frederic,1979,"August, September",115,215,130,943
Hurricane Harvey,1981,September,115,215,130,946
Hurricane Debby,1982,September,115,215,130,950
Hurricane Diana,1984,September,115,215,130,949
Hurricane Gloria,1985,"September, October",125,230,145,919
Hurricane Helene,1988,September,125,230,145,938
Hurricane Joan,1988,"October, November",125,230,145,932
Hurricane Gabrielle,1989,"August, September",125,230,145,935
Hurricane Claudette,1991,September,115,215,130,943
Hurricane Felix,1995,August,120,220,140,929
Hurricane Luis,1995,"August, September",120,220,140,935
Hurricane Opal,1995,"September, October",130,240,150,916
Hurricane Edouard,1996,"August, September",125,230,145,933
Hurricane Hortense,1996,September,120,220,140,935
Hurricane Georges,1998,"September, October",135,250,155,937
Hurricane Bret,1999,August,125,230,145,944
Hurricane Cindy,1999,August,120,220,140,942
Hurricane Floyd,1999,September,135,250,155,921
Hurricane Gert,1999,September,130,240,150,930
Hurricane Lenny,1999,November,135,250,155,933
Hurricane Isaac,2000,"September, October",120,220,140,943
Hurricane Keith,2000,"September, October",120,220,140,939
Hurricane Iris,2001,October 8–9,124,230,145,948
Hurricane Michelle,2001,November 3–4,119,220,140,933
Hurricane Lili,2002,October 2–3,124,230,145,938
Hurricane Fabian,2003,August 31–September 5,124,230,145,939
Hurricane Charley,2004,August 13,130,240,150,941
Hurricane Frances,2004,August 28–September 2,124,230,145,935
Hurricane Karl,2004,September 20–21,124,230,145,938
Hurricane Dennis,2005,July 8–10,130,240,150,930
Hurricane Gustav,2008,August 30–31,135,250,155,941
Hurricane Ike,2008,September 4–8,124,230,145,935
Hurricane Omar,2008,October 16,116,215,130,958
Hurricane Paloma,2008,November 8,124,230,145,944
Hurricane Bill,2009,August 19–20,116,215,130,943
Hurricane Danielle,2010,August 27,116,215,130,942
Hurricane Earl,2010,August 30–September 2,124,230,145,927
Hurricane Igor,2010,September 12–17,135,250,155,924
Hurricane Julia,2010,September 15,119,220,140,948
Hurricane Katia,2011,September 6,119,220,140,942
Hurricane Ophelia,2011,October 2,119,220,140,940
Hurricane Gonzalo,2014,October 15–17,124,230,145,940
Hurricane Joaquin,2015,October 1–3,135,250,155,931
Hurricane Nicole,2016,October 12–13,119,220,140,950
Hurricane Harvey,2017,August 26,116,215,130,937
Hurricane Jose,2017,September 8–10,135,250,155,938
Hurricane Florence,2018,September 5–12,119,220,140,939
